source,disease,symptom_tags,symptom_text,num_symptoms
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,headache|nausea|spinning_movements|loss_of_balance|unsteadiness,"headache, nausea, spinning movements, loss of balance, unsteadiness",5
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|loss_of_balance|unsteadiness,"vomiting, headache, nausea, loss of balance, unsteadiness",5
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|spinning_movements|loss_of_balance,"vomiting, headache, nausea, spinning movements, loss of balance",5
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|spinning_movements|loss_of_balance|unsteadiness,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness",6
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|spinning_movements|unsteadiness,"vomiting, headache, nausea, spinning movements, unsteadiness",5
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,vomiting|headache|spinning_movements|loss_of_balance|unsteadiness,"vomiting, headache, spinning movements, loss of balance, unsteadiness",5
fhai50032_symptoms_to_disease_7k,(Vertigo) Paroymsal Positional Vertigo,vomiting|nausea|spinning_movements|loss_of_balance|unsteadiness,"vomiting, nausea, spinning movements, loss of balance, unsteadiness",5
fhai50032_symptoms_to_disease_7k,Abdominal Aortic Aneurysm,abdominal_aortic_aneurysms_often_grow_slowly_without_noticeable_symptoms|making_them_difficult_to_detect._some_aneurysms_never_rupture._many_start_small_and_stay_small._others_grow_larger_over_time|sometimes_quickly._if_you_have_an_enlarging_abdominal_aortic_aneurysm|you_might_notice:_deep|constant_pain_in_the_belly_area_or_side_of_the_belly_(abdomen)_back_pain_a_pulse_near_the_bellybutton,"abdominal aortic aneurysms often grow slowly without noticeable symptoms, making them difficult to detect. some aneurysms never rupture. many start small and stay small. others grow larger over time, sometimes quickly. if you have an enlarging abdominal aortic aneurysm, you might notice: deep, constant pain in the belly area or side of the belly (abdomen) back pain a pulse near the bellybutton",5
fhai50032_symptoms_to_disease_7k,Acanthosis Nigricans,the_main_sign_of_acanthosis_nigricans_is_dark|thick|velvety_skin_in_body_folds_and_creases._it_often_appears_in_the_armpits|groin_and_back_of_the_neck._it_develops_slowly._the_affected_skin_might_be_itchy|have_an_odor_and_develop_skin_tags.,"the main sign of acanthosis nigricans is dark, thick, velvety skin in body folds and creases. it often appears in the armpits, groin and back of the neck. it develops slowly. the affected skin might be itchy, have an odor and develop skin tags.",5
fhai50032_symptoms_to_disease_7k,Achalasia,achalasia_symptoms_generally_appear_gradually_and_worsen_over_time._signs_and_symptoms_may_include:_inability_to_swallow_(dysphagia)|which_may_feel_like_food_or_drink_is_stuck_in_your_throat_regurgitating_food_or_saliva_heartburn_belching_chest_pain_that_comes_and_goes_coughing_at_night_pneumonia_(from_aspiration_of_food_into_the_lungs)_weight_loss_vomiting,"achalasia symptoms generally appear gradually and worsen over time. signs and symptoms may include: inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat regurgitating food or saliva heartburn belching chest pain that comes and goes coughing at night pneumonia (from aspiration of food into the lungs) weight loss vomiting",2
