priority_rank,department,train_count,component_count,test_count,recall,unseen_symptom_ratio,data_priority_score
1,呼吸内科,31,51,18,0.0,0.97037,4.5
2,泌尿外科,32,54,11,0.0,1.0,4.1
3,内分泌代谢科,69,58,10,0.0,0.95,4.0
4,神经内科,35,49,10,0.0,0.7,4.0
5,消化内科,57,49,9,0.0,0.712963,3.9
6,普外科,39,52,10,0.3,1.0,2.8
7,心血管内科,40,57,11,0.636364,0.530303,1.4909
8,感染性疾病科,205,215,41,0.804878,0.832114,1.3854
9,肛肠科,6,1,0,None,None,1.0
10,骨科,80,104,20,0.85,0.804167,0.75
11,呼吸与危重症医学科,69,101,20,1.0,0.89,0.0
12,皮肤科,177,267,53,1.0,0.901258,0.0
