signal,target_coverage,test_coverage,retained_accuracy,retained_macro_f1,error_rate,wrong_but_confident_rate
max_probability,1.0,0.995305,0.627358,0.411241,0.372642,0.004717
max_probability,0.9,0.877934,0.663102,0.428081,0.336898,0.005348
max_probability,0.8,0.657277,0.807143,0.46965,0.192857,0.007143
max_probability,0.7,0.549296,0.837607,0.499536,0.162393,0.008547
max_probability,0.6,0.478873,0.872549,0.511077,0.127451,0.009804
max_probability,0.5,0.375587,0.9375,0.695358,0.0625,0.0125
neg_entropy,1.0,1.0,0.624413,0.408188,0.375587,0.004695
neg_entropy,0.9,0.920188,0.658163,0.420349,0.341837,0.005102
neg_entropy,0.8,0.666667,0.788732,0.467168,0.211268,0.007042
neg_entropy,0.7,0.511737,0.87156,0.506744,0.12844,0.009174
neg_entropy,0.6,0.43662,0.924731,0.614601,0.075269,0.010753
neg_entropy,0.5,0.356808,0.947368,0.812564,0.052632,0.013158
margin,1.0,0.967136,0.635922,0.413157,0.364078,0.004854
margin,0.9,0.887324,0.671958,0.426959,0.328042,0.005291
margin,0.8,0.732394,0.737179,0.438685,0.262821,0.00641
margin,0.7,0.605634,0.79845,0.493475,0.20155,0.007752
margin,0.6,0.488263,0.836538,0.503478,0.163462,0.009615
margin,0.5,0.356808,0.934211,0.619803,0.065789,0.013158
combined,1.0,0.995305,0.627358,0.411241,0.372642,0.004717
combined,0.9,0.859155,0.688525,0.429152,0.311475,0.005464
combined,0.8,0.676056,0.791667,0.467302,0.208333,0.006944
combined,0.7,0.558685,0.848739,0.502176,0.151261,0.008403
combined,0.6,0.483568,0.873786,0.511077,0.126214,0.009709
combined,0.5,0.366197,0.935897,0.620384,0.064103,0.012821
